ville,temperature,ressentie,humidite,nuage,pluie,vent,Comfort Index,Latitude,Longitude
Saintes-Maries-de-la-Mer,24.590416666666666,25.068363095238094,71.06547619047619,24.56547619047619,0.0,3.961845238095238,45.386836011904755,43.4515922,4.4277202
Marseille,26.588511904761905,27.002202380952383,58.81845238095238,17.49702380952381,0.0,3.369315476190476,43.742905059523814,43.2961743,5.3699525
Cassis,25.664613095238096,25.95875,58.6904761904762,19.288690476190478,0.0,3.221190476190476,42.84249017857143,43.2140359,5.5396318
Bormes-les-Mimosas,25.051964285714288,25.28979166666667,59.708333333333336,18.24702380952381,0.0,3.1649107142857145,42.58711071428572,43.1506968,6.3419285
Aix-en-Provence,28.359196428571426,27.806726190476187,41.62797619047619,18.56547619047619,0.0,2.6127380952380954,40.05906934523809,43.5298424,5.4474738
Gorges du Verdon,23.77892857142857,22.887291666666666,41.973214285714285,21.482142857142858,0.0,2.650505952380952,35.45398988095238,43.7496562,6.3285616
Aigues-Mortes,25.219285714285714,25.639315476190475,65.85714285714286,22.21428571428571,0.4761904761904762,3.173095238095238,44.83785505952382,43.5661521,4.19154
Nîmes,27.83184523809524,27.474494047619046,50.56845238095238,32.42857142857143,1.4285714285714286,3.4415773809523813,41.957988690476185,43.8374249,4.3600687
Bayonne,20.63136904761905,20.83377976190476,79.63988095238095,39.38392857142857,1.6904761904761905,2.660922619047619,45.09007023809524,43.4945144,-1.4736657
Uzès,27.034672619047615,26.726458333333337,52.11904761904762,29.4047619047619,1.9523809523809523,3.301190476190476,41.78840238095238,44.0121279,4.4196718
Biarritz,20.64627976190476,20.870833333333334,79.96726190476191,40.654761904761905,2.238095238095238,2.783482142857143,45.13330654761905,43.471143749999996,-1.552726590666314
Avignon,27.45872023809524,27.249077380952382,52.788690476190474,23.770833333333332,2.380952380952381,4.1692261904761905,41.84965535714286,43.9492493,4.8059012
Collioure,26.12107142857143,26.682380952380953,65.05357142857143,27.172619047619047,2.8363095238095237,3.3225892857142854,45.41494375,42.52505,3.0831554
Carcassonne,25.705833333333334,25.70994047619048,60.276785714285715,38.55357142857143,3.2380952380952377,3.650386904761904,43.00675327380953,43.2130358,2.3491069
Bayeux,18.67607142857143,18.629583333333333,77.56845238095238,62.360119047619044,5.125,3.763452380952381,41.586268452380956,49.2764624,-0.7024738
La Rochelle,19.52342261904762,19.55779761904762,77.60714285714285,47.39285714285714,5.520833333333333,5.082797619047619,41.53633720238095,46.1591126,-1.1520434
Amiens,19.471875,19.503452380952382,76.32440476190476,60.410714285714285,9.8125,3.8620535714285715,41.92729107142857,49.8941708,2.2956951
Rouen,19.895535714285714,19.955684523809524,75.87202380952381,60.407738095238095,10.226190476190476,3.8888690476190475,42.1920556547619,49.4404591,1.0939658
Le Havre,19.121309523809526,19.125714285714285,77.97916666666667,55.854166666666664,11.041666666666666,5.128690476190476,41.214517857142866,49.4938975,0.1079732
Paris,23.10267857142857,22.916190476190476,58.232142857142854,42.145833333333336,14.416666666666666,2.8910119047619047,40.205126190476186,48.8588897,2.3200410217200766
Dijon,20.912142857142857,21.241249999999997,79.92559523809524,36.354166666666664,16.52678571428571,2.3945535714285717,45.69606160714285,47.3215806,5.0414701
Mont Saint-Michel,18.510178571428572,18.48252976190476,79.03273809523809,56.42559523809524,18.208333333333332,3.8262797619047624,41.86519940476191,48.6359541,-1.511459954959514
Montauban,23.16559523809524,23.45407738095238,67.25297619047619,39.333333333333336,19.446428571428573,2.7880654761904764,43.47475,44.0175835,1.3549991
St. Malo,18.14107142857143,18.028720238095236,76.39880952380952,25.607142857142858,22.5952380952381,3.3312202380952383,40.95043630952381,49.314695,-96.9538228
Toulouse,24.182708333333334,24.41392857142857,62.51190476190476,50.827380952380956,23.488095238095237,2.764702380952381,42.92500089285714,43.6044622,1.4442469
Strasbourg,22.143809523809523,22.491874999999997,75.28571428571429,34.145833333333336,23.61904761904762,1.8355654761904763,45.79970535714286,48.584614,7.7507127
Château du Haut-Kœnigsbourg,19.471666666666668,19.53761904761905,77.80952380952381,46.38690476190476,24.77678571428571,1.6977083333333332,43.96520089285715,48.249410749999996,7.344320233724503
Colmar,21.602976190476188,21.93366071428571,78.29761904761905,44.38095238095238,26.538690476190478,1.9351785714285714,46.17633958333334,48.0777517,7.3579641
Besançon,20.956041666666668,21.263571428571428,80.875,46.651785714285715,26.99107142857143,1.9238392857142859,46.3803505952381,47.2380222,6.0243622
Eguisheim,21.290357142857143,21.59389880952381,78.05654761904762,44.202380952380956,27.764880952380953,1.8664285714285713,45.82402232142858,48.0447968,7.3079618
Grenoble,24.67735119047619,25.065833333333334,69.25595238095238,29.238095238095237,28.40178571428571,1.4336309523809525,46.64213660714286,45.1875602,5.7357819
Lille,20.212232142857143,20.16425595238095,71.91964285714285,50.735119047619044,28.761904761904763,3.3836904761904765,41.5274619047619,50.6365654,3.0635282
Annecy,22.67184523809524,22.835744047619045,71.05357142857143,47.970238095238095,28.892857142857142,1.5605357142857141,45.06563005952381,45.8992348,6.1288847
Ariège,19.17752976190476,19.10139880952381,75.40178571428571,55.39880952380952,30.625,1.7071428571428573,42.822924404761906,42.9455368,1.4065544156065486
Lyon,24.07544642857143,24.430000000000003,67.96726190476191,47.235119047619044,33.952380952380956,1.561875,45.512714285714296,45.7578137,4.8320114
